model name,number,active features,result
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.981
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.982
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.98
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.981
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.984
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.979
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.98
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.982
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.984
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.97
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.97
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.97
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.97
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.97
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.99
